Key,Value
[1.1.1], Sony Infotainment System 1
[1.1.2],"Introduction Purpose of Document The  purpose  of  this  document  is  to  define  the  software  system  requirements  for  the  Sony 
Infotainment System designed for vehicles"
[1.1.3],"It outlines the requirements for a Car Audio-Video 
Receiver (AV Receiver) fig 1.2, a multimedia device designed to enhance in-car entertainment 
and connectivity"
[1.1.4],"The AV Receiver aims to provide users with audio playback, video playback, 
navigation, smartphone integration, and other features to enhance the driving experience"
[1.1.5],"The 
system will be designed for use in a variety of vehicles, including cars, trucks, and SUVs"
[1.1.6],"It 
includes the features, functionalities, constraints, and other aspects of the system to guide the 
development process Table 1."
Page-1 Table-1,"	0	1	2
0	Company	Last contact	Lead type
1	Acme Corp	03-01-2021	Working
2	Dunder Mifflin	05-01-2021	New
3	Duff Beer	28-12-2020	Unqualified
4	Buy n Large	02-01-2021	Nurturing
5	Pied Piper	26-12-2020	Qualified
"
[1.3.1],So when dealing with huge corpus it is very time consuming and computationally   inefficient
[1.3.2],"
What  is  the  Transformer?  In  this  work  we  propose  the  Transformer,  a  model  architecture 
eschewing recurrence and instead relying entirely on an attention mechanism is to draw global 
dependencies between input and output.', https://towardsdatascience.com/attention-is-all-you-
need-discovering-the-transformer-paper-73e5ff5e0634"
Page-2 Image-1,Not a Flowchart. It's an image
[1.5.1], 2
[1.5.2],"Functional Objectives Anti-glare Sleek Touchscreen An anti-glare sleek touch screen is a feature in infotainment systems that reduces the reflections 
of light on the screen, making it easier to see and use in bright conditions"
[1.5.3],"This is achieved by 
using a matte finish on the screen, which scatters the light instead of reflecting it"
[1.5.4],"Display a 
visually appealing and user-friendly touchscreen interface"
[1.5.5],"Implement an anti-glare technology 
to ensure optimal visibility in varying lighting conditions"
[1.5.6],"Enable touch-based interaction for 
intuitive user control [Wang et al., 2019]"
[1.5.7],"Support multi-touch gestures for zooming, scrolling, 
and control"
[1.5.8],"Touchscreen interaction is enhanced with the use of the new capacitive screens, as 
compared to the older and cheaper resistive ones"
[1.5.9],"Also, brightness and viewing angles, expect 
capacitive screens to be the mainstay"
[1.5.10],"You could also see tech like flexible or curved displays 
making their way into cars in the not-too-distant future [2]."
Page-2 Image-2,"[('Path:', 'Leave home -> Check time -> Before 7 am? -> Take subway -> Reach school')]"
[1.7.1]," Apple CarPlay Integrate Apple CarPlay for seamless smartphone integration and safer way to use your iPhone 
while you drive"
[1.7.2],"Allow users to access their phone's apps, navigation, music, and messaging 
services through the infotainment system  [Geva et al., 2021]"
[1.7.3],"It provides content for all the 
driver’s screens including the instrument cluster, ensuring a cohesive design experience that is 
the very best of your car and your iPhone"
[1.7.4],"It is available on iPhone 5 and later models running 
iOS 7.1 or later"
[1.7.5],Enable voice control integration with Siri (Apple) for hands-free operation
[1.7.6],"
Ensure  consistent  and  real-time  synchronization  between  the  infotainment  system  and  the 
connected smartphones"
[1.7.7],CarPlay isn’t available in all countries or regions
[1.7.8],"CarPlay is available 
on select automobiles and on select aftermarket navigation systems [3]."
[1.8.1], Android Auto Integrate Android Auto for seamless smartphone integration
[1.8.2],"Make sure you have an Android 
phone running version 8.0 (Oreo) or later, you just need the Android Auto app to get things 
started"
[1.8.3],"If your phone is running Android 10 or later, Android Auto is already built right into 
your  phone  and  doesn't  need  to  be  downloaded  [Petroni  et  al.,  2019]"
[1.8.4]," Enable  voice  control 
integration with Google Assistant (Android) for hands-free operation"
[1.8.5],"It essentially emulated 
the original Android Auto app for previous versions and was made as a stop-gap for devices on 
Android 10 and 11 until Google could launch its Google Assistant Driving Mode integration"
[1.8.6],"
It's a more seamless connection now, be it wired or wireless, but with older Android phones 
running anything before Android 10, you may need to open the Android app on your phone 
first, then plug in a USB cable to your vehicle's main USB port to start Android Auto on your 
car's display [1]."
Page-3 Image-1,"[('Path:', 'Leave home -> Check time -> Before 7 am? -> Take subway -> Reach school')]"
[1.10.1], LDAC-Compatible Devices Support LDAC (Low Latency Audio Codec) to provide high-quality wireless audio streaming
[1.10.2],"
LDAC’s compression technology, which appears to be an intelligent combination of lossless 
and lossy techniques to maximize sound quality at 990 kbps"
[1.10.3],"Connect and stream audio from 
LDAC-compatible devices such as smartphones, tablets, and audio players"
[1.10.4],"Ensure minimal 
audio latency and high-resolution audio playback for an immersive listening experience [Saha 
et  al.,  2023]"
[1.10.5], LDAC  uses  the  same  sub-band  techniques  at  its  300  and  600  kbps  settings
[1.10.6],"
However, Sony is simply able to change the quantization stage to reduce the bit-depth of its 
different frequency bands further"
[1.10.7],"The company’s 300 kbps setting will certainly send files at 
lower than CD quality [5]."
Page-4 Image-1,Not a Flowchart. It's an image
[1.12.1], Rear-View Camera Integrate a rear-view camera system for enhanced safety during parking and reversing
[1.12.2],"Display 
a live feed from the rear-view camera on the infotainment screen"
[1.12.3],"Provide visual guidelines 
and distance markers to assist the driver in gauging distances"
[1.12.4],"Enable automatic activation of 
the rear-view camera when the vehicle is in reverse gear"
[1.12.5],"The Rear Camera View will display 
when your vehicle is in REVERSE"
[1.12.6],"On some vehicles, you can also select the camera app on 
your infotainment display to see the camera view while in a FORWARD gear"
[1.12.7],"Many of the 
newer models also optionally offer a 360° bird’s eye panoramic view of the car [Rajpurkar et 
al.,  2016]"
[1.12.8]," This  is  achieved  with  four  cameras:  180°  cameras  are  installed  on  the  two  side 
mirrors, and two other wide view cameras are mounted at the front and rear of the car"
